reading_id,equipment_id,site_id,date_key,timestamp,vibration_g,temperature_c,pressure_psi,hours_operated,load_tonnes,fuel_consumption_lph
34,TRK001,PB01,20240124,2024-01-24 06:00:00,0.71,93.8,47.7,48787.6,196.2,260.8
35,TRK001,PB01,20240125,2024-01-25 00:00:00,1.37,86.9,40.4,48793.1,207.9,241.0
36,TRK001,PB01,20240125,2024-01-25 06:00:00,0.56,90.5,38.6,48798.5,196.6,181.0
37,TRK001,PB01,20240126,2024-01-26 00:00:00,1.94,79.7,50.2,48803.6,193.3,249.2
38,TRK001,PB01,20240126,2024-01-26 06:00:00,1.66,79.2,45.6,48808.9,195.1,192.1
39,TRK001,PB01,20240127,2024-01-27 00:00:00,1.57,87.9,38.7,48814.0,197.0,190.1
40,TRK001,PB01,20240127,2024-01-27 06:00:00,0.95,70.4,35.3,48819.2,187.6,266.8
41,TRK001,PB01,20240128,2024-01-28 00:00:00,1.65,79.1,43.8,48825.1,204.0,187.4
42,TRK001,PB01,20240128,2024-01-28 06:00:00,0.61,69.5,46.3,48830.7,227.4,202.6
43,TRK001,PB01,20240129,2024-01-29 00:00:00,1.39,90.8,54.8,48836.1,192.5,201.1
44,TRK001,PB01,20240129,2024-01-29 06:00:00,,70.2,36.5,48841.8,193.9,250.7
45,TRK001,PB01,20240130,2024-01-30 00:00:00,1.87,92.7,50.8,48847.3,218.9,270.8
46,TRK001,PB01,20240130,2024-01-30 06:00:00,0.64,70.0,41.2,48853.1,222.0,274.3
47,TRK001,PB01,20240131,2024-01-31 00:00:00,0.66,66.2,43.6,48858.6,214.5,275.1
48,TRK001,PB01,20240131,2024-01-31 06:00:00,1.84,73.1,35.8,48864.6,215.1,243.5
49,TRK001,PB01,20240201,2024-02-01 00:00:00,1.2,75.0,48.4,48869.7,228.8,235.0
50,TRK001,PB01,20240201,2024-02-01 06:00:00,1.13,74.7,54.4,48875.1,204.8,198.8
51,TRK001,PB01,20240202,2024-02-02 00:00:00,1.75,87.8,39.1,48880.9,238.4,240.9
52,TRK001,PB01,20240202,2024-02-02 06:00:00,0.82,81.5,46.0,48886.1,229.9,229.8
53,TRK001,PB01,20240203,2024-02-03 00:00:00,1.05,90.0,54.6,48891.6,232.8,266.4
54,TRK001,PB01,20240203,2024-02-03 06:00:00,2.08,77.4,53.7,48896.9,239.9,229.0
55,TRK001,PB01,20240204,2024-02-04 00:00:00,1.19,81.6,45.9,48902.4,194.0,257.6
56,TRK001,PB01,20240204,2024-02-04 06:00:00,1.99,86.2,51.2,48907.5,182.2,230.2
57,TRK001,PB01,20240212,2024-02-12 00:00:00,2.25,78.2,45.5,48913.4,208.2,276.9
58,TRK001,PB01,20240212,2024-02-12 06:00:00,1.89,84.5,52.0,48918.7,225.6,267.2
59,TRK001,PB01,20240213,2024-02-13 00:00:00,1.76,92.6,54.9,48923.8,206.6,249.4
60,TRK001,PB01,20240213,2024-02-13 06:00:00,0.59,88.9,40.9,48929.7,190.2,187.9
61,TRK001,PB01,20240214,2024-02-14 00:00:00,0.98,146.1,37.9,48935.3,220.7,195.8
62,TRK001,PB01,20240214,2024-02-14 06:00:00,1.19,82.6,47.8,48940.7,209.0,203.7
63,TRK001,PB01,20240215,2024-02-15 00:00:00,2.49,73.9,54.6,48946.3,182.9,240.6
64,TRK001,PB01,20240215,2024-02-15 06:00:00,2.31,73.6,51.0,48951.8,223.3,245.9
65,TRK001,PB01,20240216,2024-02-16 00:00:00,2.31,84.4,41.2,48957.4,224.8,197.6
66,TRK001,PB01,20240216,2024-02-16 06:00:00,1.58,94.1,45.6,48962.6,228.4,254.7
67,TRK001,PB01,20240217,2024-02-17 00:00:00,2.43,69.2,54.3,48967.7,201.9,259.1
68,TRK001,PB01,20240217,2024-02-17 06:00:00,1.57,78.6,48.5,48972.7,194.0,182.5
69,TRK001,PB01,20240218,2024-02-18 00:00:00,2.33,71.6,36.3,48978.3,236.8,210.4
70,TRK001,PB01,20240218,2024-02-18 06:00:00,0.69,91.6,37.7,48983.7,224.5,195.5
71,TRK001,PB01,20240219,2024-02-19 00:00:00,1.48,77.2,54.0,48988.8,186.0,248.6
72,TRK001,PB01,20240219,2024-02-19 06:00:00,2.46,75.8,43.0,48994.4,218.5,239.7
73,TRK001,PB01,20240220,2024-02-20 00:00:00,0.99,68.8,46.3,49000.2,199.7,194.8
74,TRK001,PB01,20240220,2024-02-20 06:00:00,0.51,90.8,37.9,49006.1,180.9,259.0
75,TRK001,PB01,20240221,2024-02-21 00:00:00,0.85,66.6,49.8,49011.4,186.5,230.4
76,TRK001,PB01,20240221,2024-02-21 06:00:00,0.59,88.5,52.3,49017.3,204.1,248.6
77,TRK001,PB01,20240222,2024-02-22 00:00:00,0.65,67.4,47.2,49023.3,239.7,233.1
78,TRK001,PB01,20240222,2024-02-22 06:00:00,1.71,68.0,49.0,49028.7,207.1,202.8
79,TRK001,PB01,20240223,2024-02-23 00:00:00,1.33,67.9,43.5,49034.2,229.9,189.3
80,TRK001,PB01,20240223,2024-02-23 06:00:00,1.98,89.4,46.1,49039.3,219.9,255.0
81,TRK001,PB01,20240224,2024-02-24 00:00:00,2.44,83.0,42.0,49045.0,230.7,216.8
82,TRK001,PB01,20240224,2024-02-24 06:00:00,1.65,89.2,51.9,49050.7,235.7,262.9
83,TRK001,PB01,20240225,2024-02-25 00:00:00,,74.3,41.8,49055.9,188.5,243.3
84,TRK001,PB01,20240225,2024-02-25 06:00:00,1.99,71.5,43.4,49061.0,185.1,185.3
85,TRK001,PB01,20240304,2024-03-04 00:00:00,1.85,73.2,48.2,49066.6,205.8,208.3
86,TRK001,PB01,20240304,2024-03-04 06:00:00,1.47,,35.9,49072.3,192.7,193.7
87,TRK001,PB01,20240305,2024-03-05 00:00:00,0.52,87.4,38.5,49077.6,184.3,266.2
88,TRK001,PB01,20240305,2024-03-05 06:00:00,0.54,92.6,52.2,49082.6,181.3,212.5
89,TRK001,PB01,20240306,2024-03-06 00:00:00,2.16,92.6,36.8,49088.2,198.6,214.0
90,TRK001,PB01,20240306,2024-03-06 06:00:00,0.84,80.3,37.3,49093.6,228.9,203.6
91,TRK001,PB01,20240307,2024-03-07 00:00:00,1.7,87.8,48.1,49098.8,206.9,272.4
92,TRK001,PB01,20240307,2024-03-07 06:00:00,1.77,83.7,52.3,49104.3,196.5,185.6
93,TRK001,PB01,20240308,2024-03-08 00:00:00,1.4,66.7,51.6,49109.6,207.8,235.4
94,TRK001,PB01,20240308,2024-03-08 06:00:00,2.29,78.5,51.2,49115.4,186.2,269.9
95,TRK001,PB01,20240309,2024-03-09 00:00:00,1.51,70.2,40.0,49121.2,197.0,220.9
96,TRK001,PB01,20240309,2024-03-09 06:00:00,1.7,88.7,47.9,49126.5,219.4,270.6
97,TRK001,PB01,20240310,2024-03-10 00:00:00,1.67,69.2,42.0,49131.8,198.6,217.7
98,TRK001,PB01,20240310,2024-03-10 06:00:00,2.13,85.1,51.6,49137.6,201.7,216.3
99,TRK001,PB01,20240311,2024-03-11 00:00:00,2.4,79.6,39.5,49142.8,230.1,268.4
100,TRK001,PB01,20240311,2024-03-11 06:00:00,1.17,88.0,37.6,49147.9,189.9,223.8
101,TRK001,PB01,20240312,2024-03-12 00:00:00,0.98,78.3,40.7,49153.5,208.1,263.5
102,TRK001,PB01,20240312,2024-03-12 06:00:00,2.39,94.5,44.2,49158.9,228.1,193.8
103,TRK001,PB01,20240313,2024-03-13 00:00:00,2.25,81.6,37.1,49164.6,234.3,194.7
104,TRK001,PB01,20240313,2024-03-13 06:00:00,2.39,71.7,44.0,49170.0,239.7,217.5
105,TRK001,PB01,20240314,2024-03-14 00:00:00,2.18,84.5,50.8,49175.9,222.3,224.9
106,TRK001,PB01,20240314,2024-03-14 06:00:00,0.66,72.7,51.7,49180.9,198.1,184.8
107,TRK001,PB01,20240315,2024-03-15 00:00:00,1.41,68.3,53.1,49186.7,205.8,241.5
108,TRK001,PB01,20240315,2024-03-15 06:00:00,1.33,84.9,36.7,49192.0,213.2,219.0
109,TRK001,PB01,20240316,2024-03-16 00:00:00,2.46,72.6,35.3,49197.6,224.1,213.3
110,TRK001,PB01,20240316,2024-03-16 06:00:00,1.59,89.4,38.5,49202.6,183.8,257.6
111,TRK001,PB01,20240317,2024-03-17 00:00:00,0.59,71.0,35.8,49207.9,225.2,199.1
112,TRK001,PB01,20240317,2024-03-17 06:00:00,2.06,91.0,41.6,49213.3,203.2,277.4
113,TRK001,PB01,20240325,2024-03-25 00:00:00,2.35,80.6,51.0,49218.8,199.3,188.0
114,TRK001,PB01,20240325,2024-03-25 06:00:00,1.11,83.1,43.5,49224.4,239.9,207.5
115,TRK001,PB01,20240326,2024-03-26 00:00:00,0.65,84.1,42.3,49230.4,226.9,183.5
116,TRK001,PB01,20240326,2024-03-26 06:00:00,2.06,76.0,42.7,49235.5,225.8,237.4
117,TRK001,PB01,20240327,2024-03-27 00:00:00,1.8,72.5,37.3,49240.9,195.6,224.6
118,TRK001,PB01,20240327,2024-03-27 06:00:00,1.07,92.5,44.8,49246.9,185.3,248.2
119,TRK001,PB01,20240328,2024-03-28 00:00:00,1.19,66.9,45.8,49252.2,227.6,230.9
120,TRK001,PB01,20240328,2024-03-28 06:00:00,0.9,69.2,50.8,49257.3,216.7,188.6
121,TRK001,PB01,20240329,2024-03-29 00:00:00,1.94,80.8,50.4,49263.3,220.8,214.5
122,TRK001,PB01,20240329,2024-03-29 06:00:00,2.06,84.2,38.6,49269.2,189.2,196.5
123,TRK001,PB01,20240330,2024-03-30 00:00:00,1.19,93.2,52.9,49274.9,198.2,233.3
124,TRK001,PB01,20240330,2024-03-30 06:00:00,0.84,93.2,38.1,49280.4,229.5,182.8
125,TRK001,PB01,20240331,2024-03-31 00:00:00,1.65,84.5,50.3,49286.0,237.4,228.3
126,TRK001,PB01,20240331,2024-03-31 06:00:00,1.87,73.9,36.5,49291.8,198.8,251.8
127,TRK001,PB01,20240401,2024-04-01 00:00:00,2.45,68.9,42.4,49297.7,185.8,209.0
128,TRK001,PB01,20240401,2024-04-01 06:00:00,1.73,72.4,52.3,49303.1,209.9,231.5
129,TRK001,PB01,20240402,2024-04-02 00:00:00,0.55,93.4,45.1,49308.4,232.9,245.4
130,TRK001,PB01,20240402,2024-04-02 06:00:00,1.57,90.4,43.6,49313.9,214.2,199.5
131,TRK001,PB01,20240403,2024-04-03 00:00:00,1.51,87.9,40.6,49318.9,227.7,213.9
132,TRK001,PB01,20240403,2024-04-03 06:00:00,2.01,71.0,45.2,49324.9,207.4,240.6
133,TRK001,PB01,20240404,2024-04-04 00:00:00,1.73,69.9,54.8,49330.2,222.5,210.0
134,TRK001,PB01,20240404,2024-04-04 06:00:00,1.24,85.2,54.6,49336.0,208.5,276.7
135,TRK001,PB01,20240405,2024-04-05 00:00:00,1.66,86.6,46.7,49341.8,220.8,183.2
136,TRK001,PB01,20240405,2024-04-05 06:00:00,0.72,65.6,41.3,49347.7,232.4,253.6
137,TRK001,PB01,20240406,2024-04-06 00:00:00,0.91,74.8,48.2,49352.9,201.3,257.2
138,TRK001,PB01,20240406,2024-04-06 06:00:00,1.79,85.8,47.2,49358.6,197.9,208.9
139,TRK001,PB01,20240407,2024-04-07 00:00:00,1.13,75.5,53.7,49364.3,238.8,261.8
140,TRK001,PB01,20240407,2024-04-07 06:00:00,2.11,73.7,40.8,49370.3,192.1,233.9
141,TRK001,PB01,20240415,2024-04-15 00:00:00,0.77,83.5,46.7,49376.0,204.8,251.7
142,TRK001,PB01,20240415,2024-04-15 06:00:00,2.04,65.2,46.0,49381.1,192.0,276.4
143,TRK001,PB01,20240416,2024-04-16 00:00:00,2.32,67.7,46.5,49386.7,232.9,197.6
144,TRK001,PB01,20240416,2024-04-16 06:00:00,2.49,76.9,,49392.6,214.1,190.7
145,TRK001,PB01,20240417,2024-04-17 00:00:00,2.48,81.3,44.9,49397.9,189.7,225.9
146,TRK001,PB01,20240417,2024-04-17 06:00:00,0.87,87.1,50.8,49403.2,229.6,231.5
147,TRK001,PB01,20240418,2024-04-18 00:00:00,0.87,69.2,41.5,49408.8,198.1,252.3
148,TRK001,PB01,20240418,2024-04-18 06:00:00,1.81,85.8,36.2,49413.8,222.2,211.1
149,TRK001,PB01,20240419,2024-04-19 00:00:00,1.09,83.4,39.4,49419.8,213.0,227.1
150,TRK001,PB01,20240419,2024-04-19 06:00:00,1.83,71.6,39.9,49425.3,184.7,236.4
151,TRK001,PB01,20240420,2024-04-20 00:00:00,1.51,82.2,38.0,49430.8,185.5,231.0
152,TRK001,PB01,20240420,2024-04-20 06:00:00,1.41,80.4,44.1,49436.7,229.0,254.6
153,TRK001,PB01,20240421,2024-04-21 00:00:00,1.19,66.9,54.9,49441.7,226.1,256.6
154,TRK001,PB01,20240421,2024-04-21 06:00:00,1.79,77.6,54.9,49447.7,219.7,233.9
155,TRK001,PB01,20240422,2024-04-22 00:00:00,0.86,,45.6,49453.0,197.9,247.3
156,TRK001,PB01,20240422,2024-04-22 06:00:00,1.56,89.7,40.0,49458.6,228.6,221.9
157,TRK001,PB01,20240423,2024-04-23 00:00:00,0.53,71.2,37.0,49464.5,204.1,203.4
158,TRK001,PB01,20240423,2024-04-23 06:00:00,2.23,66.7,45.1,49469.7,220.4,212.1
159,TRK001,PB01,20240424,2024-04-24 00:00:00,1.82,71.6,41.0,49474.8,205.6,229.6
160,TRK001,PB01,20240424,2024-04-24 06:00:00,2.38,85.1,50.7,49480.8,208.4,264.9
161,TRK001,PB01,20240425,2024-04-25 00:00:00,2.11,92.4,46.2,49486.5,218.8,272.2
162,TRK001,PB01,20240425,2024-04-25 06:00:00,0.68,86.7,38.8,49492.3,225.7,252.4
163,TRK001,PB01,20240426,2024-04-26 00:00:00,,75.0,54.1,49497.8,240.0,227.9
164,TRK001,PB01,20240426,2024-04-26 06:00:00,1.71,71.1,53.3,49503.1,195.7,231.3
165,TRK001,PB01,20240427,2024-04-27 00:00:00,2.46,79.1,51.8,49508.2,188.8,206.1
166,TRK001,PB01,20240427,2024-04-27 06:00:00,1.66,77.5,38.0,49514.1,221.1,205.7
167,TRK001,PB01,20240428,2024-04-28 00:00:00,1.78,79.7,38.4,49520.1,212.5,244.2
168,TRK001,PB01,20240428,2024-04-28 06:00:00,0.57,90.4,53.9,49525.1,222.4,180.9
169,TRK001,PB01,20240506,2024-05-06 00:00:00,1.74,,47.3,49530.5,180.7,232.9
170,TRK001,PB01,20240506,2024-05-06 06:00:00,2.45,65.5,51.3,49535.8,188.9,199.2
171,TRK001,PB01,20240507,2024-05-07 00:00:00,1.03,76.9,42.5,49541.6,230.9,245.4
172,TRK001,PB01,20240507,2024-05-07 06:00:00,2.02,,42.6,49547.4,210.0,223.4
173,TRK001,PB01,20240508,2024-05-08 00:00:00,2.22,67.9,45.6,49553.0,182.8,187.4
174,TRK001,PB01,20240508,2024-05-08 06:00:00,2.3,81.9,35.7,49558.9,222.8,219.8
175,TRK001,PB01,20240509,2024-05-09 00:00:00,0.98,90.0,42.8,49564.1,223.4,230.1
176,TRK001,PB01,20240509,2024-05-09 06:00:00,0.61,78.1,51.8,49570.1,181.8,207.3
177,TRK001,PB01,20240510,2024-05-10 00:00:00,1.21,93.2,43.6,49575.6,222.8,188.2
178,TRK001,PB01,20240510,2024-05-10 06:00:00,1.92,,49.8,49580.7,201.6,207.0
179,TRK001,PB01,20240511,2024-05-11 00:00:00,1.4,81.6,43.2,49585.9,203.1,209.2
180,TRK001,PB01,20240511,2024-05-11 06:00:00,0.67,92.0,53.1,49591.3,198.1,229.3
181,TRK001,PB01,20240512,2024-05-12 00:00:00,1.34,79.5,36.5,49596.7,186.4,210.5
182,TRK001,PB01,20240512,2024-05-12 06:00:00,1.16,83.6,51.1,49602.7,188.2,212.1
183,TRK001,PB01,20240513,2024-05-13 00:00:00,1.13,93.9,54.4,49607.9,202.6,261.6
184,TRK001,PB01,20240513,2024-05-13 06:00:00,0.73,81.9,46.8,49613.3,222.5,223.8
185,TRK001,PB01,20240514,2024-05-14 00:00:00,2.14,88.9,43.2,49619.0,227.3,187.4
186,TRK001,PB01,20240514,2024-05-14 06:00:00,1.46,77.0,45.1,49625.0,233.7,233.7
187,TRK001,PB01,20240515,2024-05-15 00:00:00,2.04,84.7,42.1,49630.0,225.2,276.6
188,TRK001,PB01,20240515,2024-05-15 06:00:00,0.52,72.8,45.2,49635.5,226.3,238.9
189,TRK001,PB01,20240516,2024-05-16 00:00:00,0.55,68.1,43.3,49640.8,207.3,200.7
190,TRK001,PB01,20240516,2024-05-16 06:00:00,1.45,78.1,48.9,49646.3,218.9,247.7
191,TRK001,PB01,20240517,2024-05-17 00:00:00,0.99,70.2,38.2,49652.3,218.4,223.2
192,TRK001,PB01,20240517,2024-05-17 06:00:00,1.73,70.9,46.8,49657.3,183.8,190.2
193,TRK001,PB01,20240518,2024-05-18 00:00:00,1.15,78.7,40.2,49662.5,215.2,214.8
194,TRK001,PB01,20240518,2024-05-18 06:00:00,1.73,89.4,49.1,49668.3,198.3,198.3
195,TRK001,PB01,20240519,2024-05-19 00:00:00,1.34,69.1,42.7,49673.9,213.3,229.0
196,TRK001,PB01,20240519,2024-05-19 06:00:00,6.55,78.5,36.1,49679.0,209.7,248.5
197,TRK001,PB01,20240527,2024-05-27 00:00:00,1.48,67.5,35.6,49684.8,207.4,254.3
198,TRK001,PB01,20240527,2024-05-27 06:00:00,1.6,68.4,37.3,49690.6,223.1,234.6
199,TRK001,PB01,20240528,2024-05-28 00:00:00,2.16,87.5,41.0,49695.7,239.6,257.6
200,TRK001,PB01,20240528,2024-05-28 06:00:00,2.12,82.6,42.0,49700.9,192.4,185.9
201,TRK001,PB01,20240529,2024-05-29 00:00:00,1.58,74.7,49.1,49706.2,185.7,276.3
202,TRK001,PB01,20240529,2024-05-29 06:00:00,2.34,94.8,52.3,49712.0,225.7,247.6
203,TRK001,PB01,20240530,2024-05-30 00:00:00,1.04,77.4,44.0,49717.6,236.2,216.9
204,TRK001,PB01,20240530,2024-05-30 06:00:00,1.15,65.1,50.5,49723.5,183.8,233.4
205,TRK001,PB01,20240531,2024-05-31 00:00:00,0.92,73.1,51.6,49729.0,221.0,184.8
206,TRK001,PB01,20240531,2024-05-31 06:00:00,2.07,,37.5,49734.1,192.1,248.9
207,TRK001,PB01,20240601,2024-06-01 00:00:00,0.82,93.0,40.5,49739.7,203.8,210.6
208,TRK001,PB01,20240601,2024-06-01 06:00:00,,84.7,49.1,49745.4,220.8,180.9
209,TRK001,PB01,20240602,2024-06-02 00:00:00,2.48,77.7,37.6,49751.2,232.9,193.7
210,TRK001,PB01,20240602,2024-06-02 06:00:00,2.01,,54.9,49757.0,206.4,252.2
211,TRK001,PB01,20240603,2024-06-03 00:00:00,1.32,85.6,52.2,49762.2,237.8,211.5
212,TRK001,PB01,20240603,2024-06-03 06:00:00,1.05,67.5,46.1,49767.3,219.5,210.2
213,TRK001,PB01,20240604,2024-06-04 00:00:00,2.0,73.9,36.1,49772.8,215.6,232.8
214,TRK001,PB01,20240604,2024-06-04 06:00:00,2.47,93.0,37.6,49778.8,237.3,257.0
215,TRK001,PB01,20240605,2024-06-05 00:00:00,1.02,66.2,36.2,49783.8,222.1,188.2
216,TRK001,PB01,20240605,2024-06-05 06:00:00,1.73,73.3,41.2,49789.4,218.1,263.5
217,TRK001,PB01,20240606,2024-06-06 00:00:00,1.9,86.9,51.9,49794.4,198.6,254.2
218,TRK001,PB01,20240606,2024-06-06 06:00:00,0.74,86.2,49.0,49800.2,190.0,192.7
219,TRK001,PB01,20240607,2024-06-07 00:00:00,2.27,88.1,35.6,49805.5,184.6,225.5
220,TRK001,PB01,20240607,2024-06-07 06:00:00,1.5,82.0,42.4,49810.8,210.5,184.4
221,TRK001,PB01,20240608,2024-06-08 00:00:00,1.44,76.5,38.0,49816.1,205.2,212.2
222,TRK001,PB01,20240608,2024-06-08 06:00:00,1.94,73.1,36.6,49821.5,238.9,275.4
223,TRK001,PB01,20240609,2024-06-09 00:00:00,6.8,90.3,41.5,49826.9,207.8,239.2
224,TRK001,PB01,20240609,2024-06-09 06:00:00,2.05,,53.0,49832.4,194.0,214.6
225,TRK001,PB01,20240617,2024-06-17 00:00:00,2.4,65.0,48.1,49838.3,209.5,186.0
226,TRK001,PB01,20240617,2024-06-17 06:00:00,1.92,67.8,53.4,49844.3,185.1,189.6
227,TRK001,PB01,20240618,2024-06-18 00:00:00,0.65,82.0,43.7,49850.1,222.0,253.5
228,TRK001,PB01,20240618,2024-06-18 06:00:00,1.04,67.2,39.1,49855.5,204.4,233.6
229,TRK001,PB01,20240619,2024-06-19 00:00:00,1.12,73.0,37.4,49860.7,230.2,212.8
230,TRK001,PB01,20240619,2024-06-19 06:00:00,1.0,75.7,45.3,49865.7,207.1,254.8
231,TRK001,PB01,20240620,2024-06-20 00:00:00,2.11,69.2,35.2,49871.2,217.8,244.5
232,TRK001,PB01,20240620,2024-06-20 06:00:00,1.02,89.4,35.4,49876.8,229.8,213.2
233,TRK001,PB01,20240621,2024-06-21 00:00:00,0.84,82.2,51.4,49882.3,191.2,208.0
234,TRK001,PB01,20240621,2024-06-21 06:00:00,0.57,83.6,39.9,49888.1,188.2,199.9
235,TRK001,PB01,20240622,2024-06-22 00:00:00,1.76,89.1,50.9,49893.7,234.8,230.2
236,TRK001,PB01,20240622,2024-06-22 06:00:00,0.86,74.6,39.4,49899.1,226.0,280.0
237,TRK001,PB01,20240623,2024-06-23 00:00:00,1.81,73.0,51.3,49904.2,227.8,215.5
238,TRK001,PB01,20240623,2024-06-23 06:00:00,2.19,70.3,46.9,49910.0,236.9,236.4
239,TRK001,PB01,20240624,2024-06-24 00:00:00,2.48,91.4,44.8,49915.2,211.6,180.1
240,TRK001,PB01,20240624,2024-06-24 06:00:00,0.9,68.9,49.3,49921.1,235.0,257.4
241,TRK001,PB01,20240625,2024-06-25 00:00:00,2.42,76.2,53.8,49927.0,236.9,259.2
242,TRK001,PB01,20240625,2024-06-25 06:00:00,1.8,70.2,54.4,49932.9,190.5,210.7
243,TRK001,PB01,20240626,2024-06-26 00:00:00,1.96,93.5,54.0,49938.0,235.3,276.8
244,TRK001,PB01,20240626,2024-06-26 06:00:00,1.63,93.1,37.8,49943.3,185.3,250.9
245,TRK001,PB01,20240627,2024-06-27 00:00:00,1.39,137.7,40.0,49949.2,238.1,268.5
246,TRK001,PB01,20240627,2024-06-27 06:00:00,1.26,81.4,37.0,49954.6,184.4,264.6
247,TRK001,PB01,20240628,2024-06-28 00:00:00,2.4,67.2,38.4,49960.0,215.6,241.4
248,TRK001,PB01,20240628,2024-06-28 06:00:00,0.56,93.3,38.3,49965.4,221.8,252.2
249,TRK001,PB01,20240629,2024-06-29 00:00:00,1.06,72.1,36.0,49970.7,197.7,246.2
250,TRK001,PB01,20240629,2024-06-29 06:00:00,0.9,65.8,38.4,49976.3,209.3,246.1
251,TRK001,PB01,20240630,2024-06-30 00:00:00,0.87,91.6,42.4,49981.9,183.7,255.2
252,TRK001,PB01,20240630,2024-06-30 06:00:00,0.67,75.3,45.8,49987.5,205.1,233.6
253,TRK001,PB01,20240708,2024-07-08 00:00:00,2.26,79.3,36.6,49993.0,220.7,242.0
254,TRK001,PB01,20240708,2024-07-08 06:00:00,2.01,70.2,54.7,49998.1,206.1,279.7
255,TRK001,PB01,20240709,2024-07-09 00:00:00,1.02,92.3,53.3,50004.0,207.5,267.3
256,TRK001,PB01,20240709,2024-07-09 06:00:00,1.75,80.7,43.4,50009.7,235.5,236.3
257,TRK001,PB01,20240710,2024-07-10 00:00:00,1.57,75.3,43.2,50015.0,188.6,240.9
258,TRK001,PB01,20240710,2024-07-10 06:00:00,0.58,91.7,41.6,50020.7,229.0,210.3
259,TRK001,PB01,20240711,2024-07-11 00:00:00,1.89,67.9,52.4,50026.2,205.0,244.6
260,TRK001,PB01,20240711,2024-07-11 06:00:00,0.92,89.7,49.8,50031.4,198.7,230.7
261,TRK001,PB01,20240712,2024-07-12 00:00:00,2.26,65.9,38.9,50037.3,222.3,207.4
262,TRK001,PB01,20240712,2024-07-12 06:00:00,1.51,84.1,37.5,50043.1,215.2,215.0
