maintenance_id,equipment_id,site_id,date_key,maintenance_date,maintenance_type,service_category,duration_hours,labor_cost,parts_cost,technician
MNT00035,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,4.6,1499.6,2477.01,Tech-E
MNT00036,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,3.2,1480.37,2404.2,Tech-D
MNT00037,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,3.2,2437.96,7386.64,Tech-C
MNT00038,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,5.7,1175.45,4764.29,Tech-A
MNT00039,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,4.5,2311.51,5085.59,Tech-E
MNT00040,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,2.1,2265.7,4103.69,Tech-B
MNT00041,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,3.1,1639.51,4015.0,Tech-A
MNT00042,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.9,1194.7,4696.62,Tech-B
MNT00043,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.0,2407.07,2863.05,Tech-D
MNT00044,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,3.7,981.85,2794.73,Tech-B
MNT00045,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,5.5,1094.64,7084.38,Tech-E
MNT00046,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.9,1810.79,7479.53,Tech-C
MNT00047,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,3.1,1770.11,6150.11,Tech-B
MNT00048,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.5,1500.07,2984.52,Tech-B
MNT00049,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,3.0,1756.29,7195.18,Tech-D
MNT00050,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,2.5,1228.58,6376.63,Tech-C
MNT00051,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,3.7,1346.9,1990.12,Tech-B
MNT00052,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,4.1,1771.19,7447.85,Tech-E
MNT00053,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,5.2,1144.83,6473.31,Tech-B
MNT00054,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,4.3,1880.0,2425.39,Tech-B
MNT00055,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.5,2368.74,5393.75,Tech-A
MNT00056,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,3.5,2259.87,4728.55,Tech-B
MNT00057,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.5,2185.58,2085.82,Tech-E
MNT00058,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.0,998.84,6771.94,Tech-B
MNT00059,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.5,876.99,6537.35,Tech-E
MNT00060,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,5.4,2138.17,7220.09,Tech-E
MNT00061,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,5.8,2340.06,6255.71,Tech-B
MNT00062,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.3,2203.99,5971.66,Tech-D
MNT00063,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,4.1,811.53,5815.02,Tech-E
MNT00064,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,3.3,1417.67,3115.59,Tech-B
MNT00065,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,4.0,2021.2,6720.65,Tech-E
MNT00066,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,2.1,1645.25,3544.19,Tech-A
MNT00067,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,5.5,1316.45,3107.41,Tech-E
MNT00068,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,3.4,2148.81,3470.63,Tech-C
MNT00069,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,2.3,1153.49,4441.48,Tech-A
MNT00070,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,2.2,2440.25,2479.56,Tech-B
MNT00071,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,2.3,1983.98,4124.71,Tech-E
MNT00072,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,5.0,2349.81,4875.65,Tech-A
MNT00073,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,2.7,1479.25,6472.98,Tech-D
MNT00074,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.7,1435.93,3538.93,Tech-C
MNT00075,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,3.9,2368.95,1522.2,Tech-A
MNT00076,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,2.9,1517.99,2096.94,Tech-C
MNT00077,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,3.3,1485.36,3818.42,Tech-C
MNT00078,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,4.0,980.67,4424.25,Tech-D
MNT00079,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,2.9,1105.42,6997.38,Tech-B
MNT00080,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,4.3,2428.16,2734.19,Tech-B
MNT00081,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,5.5,1747.8,2736.1,Tech-C
MNT00082,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.2,2191.68,1842.64,Tech-E
MNT00083,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.6,875.7,3696.53,Tech-B
MNT00084,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,2.2,2424.88,7084.27,Tech-B
MNT00085,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,2.8,1239.25,3487.94,Tech-B
MNT00086,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,5.8,2318.93,1954.46,Tech-D
MNT00087,TRK003,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,4.0,1455.53,4157.26,Tech-A
MNT00088,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,5.5,1989.64,6922.7,Tech-A
MNT00089,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,4.7,2153.63,2499.35,Tech-A
MNT00090,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.8,2033.8,2064.78,Tech-C
MNT00091,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,3.0,2455.13,5865.72,Tech-A
MNT00092,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.8,1260.87,5092.49,Tech-D
MNT00093,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,2.5,1064.97,4021.42,Tech-B
MNT00094,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,2.2,925.94,4078.2,Tech-C
MNT00095,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,2.3,1062.85,4969.2,Tech-A
MNT00096,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,3.5,852.0,7005.14,Tech-C
MNT00097,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.1,2440.11,7184.82,Tech-D
MNT00098,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,4.2,1161.87,5711.05,Tech-C
MNT00099,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,3.3,1066.37,4706.7,Tech-E
MNT00100,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,4.5,1111.27,5746.87,Tech-A
MNT00101,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,4.1,2291.5,3231.52,Tech-A
MNT00102,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,2.7,1054.38,1596.18,Tech-C
MNT00103,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,2.7,2096.03,2973.22,Tech-B
MNT00104,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.6,1129.7,7944.13,Tech-A
MNT00105,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,4.1,2159.56,6914.12,Tech-E
MNT00106,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,2.9,1725.58,5525.31,Tech-C
MNT00107,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,4.5,1133.37,7455.73,Tech-B
MNT00108,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,2.9,1683.24,6730.79,Tech-A
MNT00109,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.9,1351.55,7147.89,Tech-E
MNT00110,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,4.6,1572.48,3425.24,Tech-A
MNT00111,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,2.7,1098.83,4375.65,Tech-A
MNT00112,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.7,1673.1,6917.84,Tech-A
MNT00113,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,3.1,2108.55,5609.78,Tech-E
MNT00114,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,5.3,1850.44,4440.74,Tech-A
MNT00115,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,2.4,2452.99,7045.99,Tech-B
MNT00116,TRK004,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,5.4,989.81,2912.59,Tech-C
MNT00117,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,3.2,2084.98,6156.45,Tech-D
MNT00118,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.7,2426.36,3997.4,Tech-C
MNT00119,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.4,2177.6,3229.03,Tech-A
MNT00120,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,4.6,1087.94,7173.22,Tech-B
MNT00121,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,5.6,2288.92,5414.51,Tech-D
MNT00122,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,2.9,923.99,7583.25,Tech-C
MNT00123,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,5.6,1895.28,1584.64,Tech-B
MNT00124,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,4.5,1111.78,2153.48,Tech-C
MNT00125,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,5.2,1538.31,5861.88,Tech-B
MNT00126,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,4.4,2008.58,2357.62,Tech-E
MNT00127,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,4.3,876.12,2472.78,Tech-B
MNT00128,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,4.6,1691.19,2645.29,Tech-D
MNT00129,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,2.3,983.3,5902.67,Tech-D
MNT00130,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.9,1960.09,5326.55,Tech-A
MNT00131,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.4,1575.47,5595.19,Tech-B
MNT00132,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,5.2,2325.61,4425.43,Tech-B
MNT00133,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.0,1488.55,1631.97,Tech-D
MNT00134,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.4,2108.05,2407.37,Tech-B
MNT00135,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,5.6,1993.67,5649.4,Tech-A
MNT00136,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,4.7,2269.25,4121.33,Tech-E
MNT00137,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,5.5,841.37,7325.44,Tech-C
MNT00138,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,5.4,2377.54,4364.32,Tech-A
MNT00139,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,4.3,1939.46,2204.94,Tech-E
MNT00140,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,3.0,1784.3,4613.44,Tech-C
MNT00141,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,5.2,1506.17,6814.49,Tech-C
MNT00142,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,3.2,1128.45,7044.58,Tech-B
MNT00143,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,5.4,1208.46,5779.89,Tech-A
MNT00144,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.4,1104.67,5813.14,Tech-B
MNT00145,TRK005,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.4,2454.1,4431.29,Tech-A
MNT00146,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,2.8,1398.88,5865.34,Tech-B
MNT00147,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,5.4,1413.0,5108.02,Tech-D
MNT00148,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,2.4,1746.68,5233.71,Tech-E
MNT00149,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,2.2,2082.46,2855.78,Tech-E
MNT00150,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,2.5,1761.95,5500.77,Tech-B
MNT00151,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,4.0,1036.22,2092.57,Tech-E
MNT00152,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,3.6,2198.06,7852.73,Tech-B
MNT00153,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.3,1916.54,5627.22,Tech-B
MNT00154,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.8,1499.14,6284.5,Tech-A
MNT00155,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,5.4,1711.69,6691.51,Tech-B
MNT00156,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.2,1704.78,3521.67,Tech-D
MNT00157,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,3.2,1772.9,3885.4,Tech-E
MNT00158,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.4,1224.09,4707.89,Tech-D
MNT00159,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,3.8,1982.29,2288.27,Tech-A
MNT00160,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,3.0,2172.31,7479.5,Tech-D
MNT00161,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,6.0,870.82,6913.48,Tech-D
MNT00162,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.8,2349.16,4025.18,Tech-E
MNT00163,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,5.3,2023.4,7142.71,Tech-B
MNT00164,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,5.5,2130.96,5909.51,Tech-E
MNT00165,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.7,1519.55,4457.75,Tech-E
MNT00166,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,5.4,2276.39,7266.59,Tech-A
MNT00167,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.4,1752.92,7768.74,Tech-E
MNT00168,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,3.7,2437.64,7511.45,Tech-C
MNT00169,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,4.5,886.74,2183.28,Tech-A
MNT00170,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,5.8,1807.77,2299.71,Tech-D
MNT00171,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,4.2,1388.08,3558.61,Tech-D
MNT00172,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,4.2,826.88,3210.43,Tech-C
MNT00173,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,4.9,1535.83,7178.56,Tech-C
MNT00174,TRK006,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,2.7,1064.79,2443.09,Tech-E
MNT00175,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,5.4,1366.82,2895.1,Tech-B
MNT00176,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.9,2040.48,7098.71,Tech-C
MNT00177,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,4.2,2302.58,3372.18,Tech-E
MNT00178,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,3.4,2432.08,7702.0,Tech-D
MNT00179,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.7,1150.2,6358.05,Tech-A
MNT00180,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,3.4,2163.25,5449.03,Tech-A
MNT00181,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.6,2479.94,2088.76,Tech-B
MNT00182,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.4,2239.24,4908.52,Tech-C
MNT00183,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,3.8,1699.6,3047.05,Tech-E
MNT00184,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,4.6,809.33,4533.57,Tech-C
MNT00185,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.6,852.32,6119.67,Tech-C
MNT00186,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,2.0,1270.12,3831.28,Tech-E
MNT00187,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,4.2,2086.31,6742.68,Tech-E
MNT00188,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,3.5,1537.82,3951.82,Tech-C
MNT00189,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,3.7,1557.56,3401.57,Tech-D
MNT00190,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,2.5,2112.16,6135.67,Tech-D
MNT00191,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,6.0,1766.55,3260.72,Tech-A
MNT00192,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,5.1,804.49,7195.49,Tech-B
MNT00193,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,2.7,1537.14,2205.57,Tech-B
MNT00194,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,3.0,2284.18,1809.17,Tech-A
MNT00195,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,5.6,1169.4,2875.95,Tech-D
MNT00196,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.0,2301.74,6723.3,Tech-E
MNT00197,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,3.4,1918.13,6603.91,Tech-E
MNT00198,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,5.1,1249.16,4645.62,Tech-A
MNT00199,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.8,2361.04,2916.22,Tech-B
MNT00200,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.5,1784.12,2444.32,Tech-D
MNT00201,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,3.4,2000.28,6802.55,Tech-A
MNT00202,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.3,1547.35,3489.11,Tech-B
MNT00203,TRK007,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,4.0,2262.68,4114.16,Tech-A
MNT00204,TRK008,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,2.6,1451.09,5111.76,Tech-A
MNT00205,TRK008,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,3.7,1673.97,3403.83,Tech-A
MNT00206,TRK008,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,2.1,2128.87,1990.89,Tech-A
MNT00207,TRK008,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,2.6,1457.45,5770.66,Tech-B
MNT00208,TRK008,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,3.0,1513.72,1546.86,Tech-A
MNT00209,TRK008,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,2.1,1900.96,3584.64,Tech-E
MNT00210,TRK008,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,2.5,2440.82,7596.87,Tech-B
MNT00211,TRK008,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,4.5,1127.43,6953.4,Tech-C
